source	target	weight
AANAT	PYCR1	1
AANAT	PYCRL	1
AANAT	SCP2	1
AANAT	SLC25A16	1
AANAT	SLC27A3	1
AANAT	SLC27A4	1
AANAT	SLC27A5	1
AANAT	SLC27A6	1
AANAT	SOAT1	1
AANAT	SUCLA2	1
AANAT	SUCLG1	1
AANAT	SUCLG2	1
AANAT	SULT1A1	1
AANAT	YWHAZ	1
AAR2	ARF6	1
AAR2	ASH2L	1
AAR2	CENPJ	1
AAR2	CUL3	1
AAR2	DDX23	1
AAR2	EAPP	1
AAR2	ECD	1
AAR2	EFTUD2	1
AAR2	FKBP5	1
AAR2	GHDC	1
AAR2	GJA5	1
AAR2	HCFC1	1
AAR2	HNF4A	1
AAR2	KDR	1
AAR2	KLHL36	1
AAR2	MICA	1
AAR2	NCDN	1
AAR2	PRPF8	1
AAR2	SLC7A6OS	1
AAR2	SNRNP200	1
AAR2	TSSC4	1
AAR2	TTC5	1
AAR2	UBC	1
AAR2	ZNHIT2	1
AARS2	ACSL4	1
AARS2	ACSS2	1
AARS2	APRT	1
AARS2	ARHGEF26	1
AARS2	ASNS	1
AARS2	BMI1	1
AARS2	CARNS1	1
AARS2	CCDC8	1
AARS2	CDS1	1
AARS2	CHEBI:16027	1
AARS2	CHEBI:17732	1
AARS2	CHEBI:18361	1
AARS2	CHEBI:29888	1
AARS2	CMAS	1
AARS2	COASY	1
AARS2	COQ2	1
AARS2	DHRS4L2	1
AARS2	ENPP1	1
AARS2	FDFT1	1
AARS2	FGL1	1
AARS2	FOXB1	1
AARS2	FOXL1	1
AARS2	GMPPB	1
AARS2	GMPS	1
AARS2	HPRT1	1
AARS2	ICT1	1
AARS2	MEGF10	1
AARS2	MRPL4	1
AARS2	NADSYN1	1
AARS2	NAMPT	1
AARS2	NAPRT	1
AARS2	NFIL3	1
AARS2	NMNAT3	1
AARS2	NTRK1	1
AARS2	OXLD1	1
AARS2	PAPOLA	1
AARS2	PCYT1A	1
AARS2	PCYT2	1
AARS2	POLA1	1
AARS2	POLA2	1
AARS2	POLD1	1
AARS2	POLD2	1
AARS2	POLD3	1
AARS2	POLD4	1
AARS2	POLE	1
AARS2	POLE2	1
AARS2	POLE3	1
AARS2	POLE4	1
AARS2	POLG	1
AARS2	POLG2	1
AARS2	POLR3K	1
AARS2	PRIM1	1
AARS2	PRIM2	1
AARS2	PRPS1L1	1
AARS2	RAP1B	1
AARS2	RARS2	1
AARS2	REV3L	1
AARS2	RNF2	1
AARS2	SIRT4	1
AARS2	SLC27A5	1
AARS2	TRIT1	1
AARS2	YWHAQ	1
AARS2	ZCCHC11	1
AARS2	ZNRF1	1
AARS	ABCE1	1
AARS	ACTA2	1
AARS	ACTG1	1
AARS	ACTN1	1
AARS	ALDOA	1
AARS	ANKMY2	1
AARS	ARPC1B	1
AARS	ARRB1	1
AARS	ASNS	1
AARS	ATF2	1
AARS	BNIP3	1
AARS	C12orf10	1
AARS	CACYBP	1
AARS	CALU	1
AARS	CDK2	1
AARS	CHEBI:16027	1
AARS	CHEBI:17732	1
AARS	CHEBI:18361	1
AARSD1	ARAF	1
AARSD1	ARPC1A	1
AARSD1	ARPC2	1
AARSD1	ARPC5	1
AARSD1	CALR	1
AARSD1	CALU	1
AARSD1	CDK10	1
AARSD1	CFLAR	1
AARSD1	CLCN2	1
AARSD1	CRAT	1
AARSD1	CRELD2	1
AARSD1	CSNK1E	1
AARSD1	CTCFL	1
AARSD1	DARS	1
AARSD1	DET1	1
AARSD1	DNAJB6	1
AARSD1	DNM3	1
AARSD1	DYNLT1	1
AARSD1	EFTUD2	1
AARSD1	ERBB2	1
AARSD1	ERCC2	1
AARSD1	FBXL14	1
AARSD1	FBXO18	1
AARSD1	FOXD4L6	1
AARSD1	FUBP1	1
AARSD1	GNA13	1
AARSD1	GNA15	1
AARSD1	GNAL	1
AARSD1	GNAZ	1
AARSD1	GNB1	1
AARSD1	GTF2E1	1
AARSD1	GTF3C5	1
AARSD1	HARS	1
AARSD1	HECTD1	1
AARSD1	HSPA2	1
AARSD1	HSPB1	1
AARSD1	HUS1B	1
AARSD1	IFRD2	1
AARSD1	IRS4	1
AARSD1	JADE2	1
AARSD1	KAT5	1
AARSD1	KEAP1	1
AARSD1	KLHL38	1
AARSD1	KPTN	1
